"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv72",39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38,39,39,38,38
"asv73",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"asv74",21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27,21,30,30,27
"asv75",39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48,39,39,48,48
"asv76",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"asv77",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"asv78",21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24,21,21,24,24
"asv79",33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"asv80",81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
"asv81",38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
