"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv151",0,0,0,0,0,39,0,0,0,0,39,39,39,0,0,34,39,39,38,41,0
"asv152",0,0,0,0,0,38,0,0,0,0,17,38,38,0,0,17,17,38,38,38,0
"asv153",0,0,0,0,0,20,0,0,0,0,20,20,20,0,0,23,23,23,23,23,0
"asv154",0,0,0,0,0,19,0,0,0,0,18,18,18,0,0,0,0,0,0,0,0
"asv155",0,0,0,0,0,32,38,0,0,0,27,27,38,39,0,25,27,27,38,39,39
"asv156",0,0,0,0,0,17,0,0,0,0,16,17,17,0,0,14,14,15,15,15,0
"asv157",0,0,0,0,0,17,0,0,0,0,16,16,16,0,0,16,16,16,16,16,0
"asv158",0,0,0,0,0,39,39,0,0,0,38,39,39,39,0,38,38,39,39,39,40
"asv159",0,0,0,0,0,13,0,0,0,0,13,13,13,0,0,13,13,13,13,13,0
"asv160",0,0,0,0,0,13,0,0,0,0,13,13,14,0,0,12,13,13,14,15,0
"asv161",0,0,0,0,0,12,0,0,0,0,12,12,12,0,0,12,12,12,12,12,0
"asv162",0,0,0,0,0,12,0,0,0,0,9,12,12,0,0,0,0,0,0,0,0
"asv163",0,0,0,0,0,12,0,0,0,0,10,12,12,0,0,10,10,12,12,12,0
"asv164",0,0,0,0,0,11,0,0,0,0,11,11,11,0,0,11,11,11,11,11,0
"asv165",0,0,0,0,0,11,0,0,0,0,10,10,9,0,0,12,12,11,11,12,0
"asv166",0,0,0,0,0,11,11,0,0,0,11,11,11,11,0,11,11,11,11,11,11
"asv167",0,0,0,0,0,11,11,0,0,0,11,11,11,11,0,11,11,11,11,11,11
"asv168",0,0,0,0,0,10,0,0,0,0,8,10,10,0,0,0,0,10,10,10,0
"asv169",0,0,0,0,0,14,0,0,0,0,14,14,14,0,0,13,14,14,14,14,0
"asv170",0,0,0,0,0,8,8,0,0,0,8,8,8,8,0,8,8,8,8,8,8
"asv171",0,0,0,0,0,8,0,0,0,0,8,8,7,0,0,7,8,8,7,7,0
"asv172",0,0,0,0,0,6,0,0,0,0,9,6,6,0,0,0,0,0,0,8,0
"asv173",0,0,0,0,0,6,6,0,0,0,5,6,6,6,0,5,5,6,6,6,6
"asv174",0,0,0,0,0,6,0,0,0,0,4,4,4,0,0,3,3,3,3,3,0
"asv175",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv176",0,0,0,0,0,6,6,0,0,0,6,6,6,6,0,6,6,6,6,6,7
"asv177",0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"asv178",0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,3,3,3,3,3,0
"asv179",0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0
"asv180",0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv181",0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"asv182",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv183",0,0,0,0,0,0,37,0,0,0,0,0,37,37,0,0,0,0,37,37,37
"asv184",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2
