"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv48",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
"asv49",54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59,54,54,59,59
"asv50",27,27,31,31,27,27,31,31,27,27,31,31,27,27,31,31,27,27,31,31,27,27,31,31,27,27,31,31,27,27,31,31,27,0,31,31,27,27,31,31,27,27,31,31,27,27,31,31
"asv51",30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35,30,30,35,35
"asv52",25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28,25,28,28,28
"asv53",39,10,83,0,3,0,31,2,0,0,0,0,6,32,40,10,25,31,101,28,5,0,101,16,76,45,27,3,83,30,78,3,79,0,29,76,29,13,0,0,7,3,0,111,107,54,25,76
"asv54",33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"asv55",54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52,54,51,60,52
"asv56",59,60,68,59,59,60,68,59,68,60,68,59,68,60,68,59,48,60,68,59,68,60,68,59,59,52,68,59,59,60,68,59,59,63,68,61,68,52,58,59,59,63,68,57,59,60,58,59
"asv57",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
"asv58",26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28,26,26,26,28
"asv59",22,0,0,0,0,0,20,12,22,0,0,12,22,0,20,12,22,0,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,22,0,0,0
"asv60",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"asv61",45,47,42,39,2001,45,1935,47,39,44,39,42,1997,39,39,44,39,39,47,37,42,44,39,42,1998,1998,56,42,39,39,42,47,1993,39,44,39,39,39,39,44,44,39,56,1886,44,1993,48,42
