"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track47","140892","111165","110592","110263","4982","4916","3","77","Truncq_4","rmphix_FALSE","MaxEE_1-1","TruncLen_180-160"
"track48","140892","111165","110592","110263","4982","4916","3","77","Truncq_7","rmphix_FALSE","MaxEE_1-1","TruncLen_180-160"
"track49","140892","111165","110592","110263","4982","4916","3","77","Truncq_11","rmphix_FALSE","MaxEE_1-1","TruncLen_180-160"
"track50","140892","39171","38850","38878","2489","2489","0","33","Truncq_15","rmphix_FALSE","MaxEE_1-1","TruncLen_180-160"
"track51","140892","100502","99471","99029","77305","63139","118","84","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track52","140892","100502","99471","99029","77305","63139","119","83","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track53","140892","100502","99471","99029","77305","63139","118","84","Truncq_7","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track54","140892","100502","99471","99029","77305","63139","118","84","Truncq_11","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track55","140892","129060","127879","128940","4324","4324","2","20","Truncq_15","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track56","140892","43168","42489","42207","38836","31865","160","80","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_250-230"
"track57","140892","43168","42489","42207","38836","31865","159","81","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_250-230"
"track58","140892","43168","42489","42207","38836","31865","159","81","Truncq_7","rmphix_TRUE","MaxEE_2-2","TruncLen_250-230"
"track59","140892","43168","42489","42207","38836","31865","156","84","Truncq_11","rmphix_TRUE","MaxEE_2-2","TruncLen_250-230"
"track60","140892","2767","2679","2683","2447","2336","46","11","Truncq_15","rmphix_TRUE","MaxEE_2-2","TruncLen_250-230"
"track61","140892","114947","114097","113826","5677","5614","9","89","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_230-210"
"track62","140892","114947","114097","113826","5677","5614","10","88","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_230-210"
"track63","140892","114947","114097","113826","5677","5614","9","89","Truncq_7","rmphix_TRUE","MaxEE_2-2","TruncLen_230-210"
"track64","140892","114947","114097","113826","5677","5614","9","89","Truncq_11","rmphix_TRUE","MaxEE_2-2","TruncLen_230-210"
"track65","140892","13656","13429","13523","832","832","3","25","Truncq_15","rmphix_TRUE","MaxEE_2-2","TruncLen_230-210"
"track66","140892","120557","119729","119414","6080","6019","6","96","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_210-190"
"track67","140892","120557","119729","119414","6080","6019","5","97","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_210-190"
"track68","140892","120557","119729","119414","6080","6019","7","95","Truncq_7","rmphix_TRUE","MaxEE_2-2","TruncLen_210-190"
"track69","140892","120557","119729","119414","6080","6019","6","96","Truncq_11","rmphix_TRUE","MaxEE_2-2","TruncLen_210-190"
"track70","140892","24401","24112","24164","1803","1803","2","34","Truncq_15","rmphix_TRUE","MaxEE_2-2","TruncLen_210-190"
"track71","140892","127640","126872","126155","5678","5606","4","80","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_180-160"
"track72","140892","127640","126872","126155","5678","5606","3","81","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_180-160"
"track73","140892","127640","126872","126155","5678","5606","3","81","Truncq_7","rmphix_TRUE","MaxEE_2-2","TruncLen_180-160"
"track74","140892","127640","126872","126155","5678","5606","4","80","Truncq_11","rmphix_TRUE","MaxEE_2-2","TruncLen_180-160"
