trackID,filtered,denoisedF,denoisedR,merged,nonchim,assignes,badassignes,PRM_TRUNCQ,PRM_RMPHIX,PRM_MAXEE,Trunclen
track139,110960,110633,110514,1993,1991,8,40,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track140,16365,16296,16307,322,322,0,10,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_230-210
track141,114065,113715,113529,2160,2151,10,44,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track142,114065,113715,113529,2160,2151,8,46,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track143,114065,113715,113529,2160,2151,8,46,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track144,114065,113715,113529,2160,2151,8,46,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track145,25380,25279,25296,695,692,3,16,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_210-190
track146,118101,117522,117173,2096,2092,5,45,Truncq_2,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track147,118101,117522,117173,2096,2092,6,44,Truncq_4,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track148,118101,117522,117173,2096,2092,5,45,Truncq_7,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track149,118101,117522,117173,2096,2092,6,44,Truncq_11,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track150,39338,39235,39223,996,994,2,27,Truncq_15,rmphix_FALSE,MaxEE_3-3,TruncLen_180-160
track151,107085,106787,106362,103911,95818,19,55,Truncq_2,rmphix_TRUE,MaxEE_2-5,TruncLen_0-0
track152,107085,106787,106362,103911,95818,21,53,Truncq_4,rmphix_TRUE,MaxEE_2-5,TruncLen_0-0
track153,107085,106787,106362,103911,95818,19,55,Truncq_7,rmphix_TRUE,MaxEE_2-5,TruncLen_0-0
track154,107085,106787,106362,103911,95818,20,54,Truncq_11,rmphix_TRUE,MaxEE_2-5,TruncLen_0-0
track155,113927,113479,113862,1782,1782,2,16,Truncq_15,rmphix_TRUE,MaxEE_2-5,TruncLen_0-0
track156,106343,106109,105605,105053,96689,27,37,Truncq_2,rmphix_TRUE,MaxEE_2-5,TruncLen_250-230
track157,106343,106109,105605,105053,96689,28,36,Truncq_4,rmphix_TRUE,MaxEE_2-5,TruncLen_250-230
track158,106343,106109,105605,105053,96689,27,37,Truncq_7,rmphix_TRUE,MaxEE_2-5,TruncLen_250-230
track159,106343,106109,105605,105053,96689,27,37,Truncq_11,rmphix_TRUE,MaxEE_2-5,TruncLen_250-230
track160,11268,11239,11235,11208,10007,6,4,Truncq_15,rmphix_TRUE,MaxEE_2-5,TruncLen_250-230
track161,110159,109876,109162,1928,1928,8,39,Truncq_2,rmphix_TRUE,MaxEE_2-5,TruncLen_230-210
track162,110159,109876,109162,1928,1928,8,39,Truncq_4,rmphix_TRUE,MaxEE_2-5,TruncLen_230-210
track163,110159,109876,109162,1928,1928,7,40,Truncq_7,rmphix_TRUE,MaxEE_2-5,TruncLen_230-210
track164,110159,109876,109162,1928,1928,8,39,Truncq_11,rmphix_TRUE,MaxEE_2-5,TruncLen_230-210
track165,16365,16296,16307,322,322,2,9,Truncq_15,rmphix_TRUE,MaxEE_2-5,TruncLen_230-210
track166,112702,112419,111372,2103,2095,8,45,Truncq_2,rmphix_TRUE,MaxEE_2-5,TruncLen_210-190
track167,112702,112419,111372,2103,2095,8,45,Truncq_4,rmphix_TRUE,MaxEE_2-5,TruncLen_210-190
track168,112702,112419,111372,2103,2095,9,44,Truncq_7,rmphix_TRUE,MaxEE_2-5,TruncLen_210-190
track169,112702,112419,111372,2103,2095,9,44,Truncq_11,rmphix_TRUE,MaxEE_2-5,TruncLen_210-190
track170,25380,25279,25296,695,692,4,15,Truncq_15,rmphix_TRUE,MaxEE_2-5,TruncLen_210-190
track171,116734,116351,115159,2055,2051,6,44,Truncq_2,rmphix_TRUE,MaxEE_2-5,TruncLen_180-160
track172,116734,116351,115159,2055,2051,5,45,Truncq_4,rmphix_TRUE,MaxEE_2-5,TruncLen_180-160
track173,116734,116351,115159,2055,2051,5,45,Truncq_7,rmphix_TRUE,MaxEE_2-5,TruncLen_180-160
track174,116734,116351,115159,2055,2051,6,44,Truncq_11,rmphix_TRUE,MaxEE_2-5,TruncLen_180-160
track175,39338,39235,39223,996,994,3,26,Truncq_15,rmphix_TRUE,MaxEE_2-5,TruncLen_180-160
track176,107085,106787,106362,103911,95818,19,55,Truncq_2,rmphix_FALSE,MaxEE_2-5,TruncLen_0-0
track177,107085,106787,106362,103911,95818,18,56,Truncq_4,rmphix_FALSE,MaxEE_2-5,TruncLen_0-0
track178,107085,106787,106362,103911,95818,19,55,Truncq_7,rmphix_FALSE,MaxEE_2-5,TruncLen_0-0
track179,107085,106787,106362,103911,95818,19,55,Truncq_11,rmphix_FALSE,MaxEE_2-5,TruncLen_0-0
track180,113927,113479,113862,1782,1782,0,17,Truncq_15,rmphix_FALSE,MaxEE_2-5,TruncLen_0-0
track181,106343,106109,105605,105053,96689,27,37,Truncq_2,rmphix_FALSE,MaxEE_2-5,TruncLen_250-230
track182,106343,106109,105605,105053,96689,27,37,Truncq_4,rmphix_FALSE,MaxEE_2-5,TruncLen_250-230
track183,106343,106109,105605,105053,96689,28,36,Truncq_7,rmphix_FALSE,MaxEE_2-5,TruncLen_250-230
track184,106343,106109,105605,105053,96689,27,37,Truncq_11,rmphix_FALSE,MaxEE_2-5,TruncLen_250-230
track185,11268,11239,11235,11208,10007,7,3,Truncq_15,rmphix_FALSE,MaxEE_2-5,TruncLen_250-230
track186,110159,109876,109162,1928,1928,8,39,Truncq_2,rmphix_FALSE,MaxEE_2-5,TruncLen_230-210
track187,110159,109876,109162,1928,1928,8,39,Truncq_4,rmphix_FALSE,MaxEE_2-5,TruncLen_230-210
track188,110159,109876,109162,1928,1928,7,40,Truncq_7,rmphix_FALSE,MaxEE_2-5,TruncLen_230-210
track189,110159,109876,109162,1928,1928,7,40,Truncq_11,rmphix_FALSE,MaxEE_2-5,TruncLen_230-210
track190,16365,16296,16307,322,322,0,10,Truncq_15,rmphix_FALSE,MaxEE_2-5,TruncLen_230-210
