"track"	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"assignes"	"badassignes"	"PRM_TRUNCQ"	"PRM_RMPHIX"	"PRM_MAXEE"	"PRM_TRUNCLEN"	"pFiltered"	"pDenoisedF"	"pDenoisedR"	"pMerged"	"pNonchim"	"Klebsiella"	"Citrobacter"	"Lelliottia"	"Streptococcus"	"Prevotella_7"	"Fusobacterium"	"Raoultella"	"Granulicatella"	"Bergeyella"	"Veillonella"	"Prevotella_6"	"Enterococcus"	"Lactobacillus"	"Gemella"	"Campylobacter"	"Leptotrichia"	"Atopobium"	"Prevotella"	"Oribacterium"	"Megasphaera"	"Bifidobacterium"	"Stomatobaculum"	"Porphyromonas"	"Neisseria"	"Haemophilus"	"Actinobacillus"	"Parvimonas"	"Geobacillus"	"Enterobacter"	"Kingella"	"Capnocytophaga"	"Bacillus"	"Dialister"	"Treponema_2"	"Mycoplasma"	"Mogibacterium"	"Shuttleworthia"	"Alloprevotella"	"Anaerobacillus"	"Rothia"	"Actinomyces"	"Escherichia/Shigella"	"Cutibacterium"	"Pseudoscardovia"	"Selenomonas_3"	"Ochrobactrum"	"Corynebacterium"	"Samsonia"	"Atlantibacter"	"Tannerella"	"Prevotellaceae_YAB2003_group"	"Distigma"	"Atopobacter"	"Solobacterium"	"Hydrogenophilus"	"Slackia"	"Melissococcus"	"Enterobacillus"	"Anthococcus"
"track21"	"track21"	140892	111165	110592	110263	4982	4916	4	76	"Truncq_2"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_180-160"	78.9008602333702	78.4941657439741	78.2606535502371	3.53604179087528	3.48919739942651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track22"	"track22"	140892	111165	110592	110263	4982	4916	3	77	"Truncq_4"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_180-160"	78.9008602333702	78.4941657439741	78.2606535502371	3.53604179087528	3.48919739942651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"track23"	"track23"	140892	111165	110592	110263	4982	4916	3	77	"Truncq_7"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_180-160"	78.9008602333702	78.4941657439741	78.2606535502371	3.53604179087528	3.48919739942651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track24"	"track24"	140892	111165	110592	110263	4982	4916	3	77	"Truncq_11"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_180-160"	78.9008602333702	78.4941657439741	78.2606535502371	3.53604179087528	3.48919739942651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"track25"	"track25"	140892	39171	38850	38878	2489	2489	0	32	"Truncq_15"	"rmphix_TRUE"	"MaxEE_1-1"	"TruncLen_180-160"	27.8021463248446	27.5743122391619	27.5941856173523	1.76660136842404	1.76660136842404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track26"	"track26"	140892	68474	67774	67529	61277	51834	109	82	"Truncq_2"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_0-0"	48.6003463645913	48.1035119098316	47.9296198506658	43.4921784061551	36.7898816114471	18069	9535	2171	5148	3019	2297	1179	780	654	2130	536	357	417	461	96	76	74	129	66	102	55	69	70	49	64	36	36	29	70	24	30	18	21	14	4	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track27"	"track27"	140892	68474	67774	67529	61277	51834	111	80	"Truncq_4"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_0-0"	48.6003463645913	48.1035119098316	47.9296198506658	43.4921784061551	36.7898816114471	18069	9535	2171	5148	3019	2297	1179	780	654	2130	536	357	417	461	96	76	74	129	66	102	55	69	70	49	64	36	36	29	70	24	30	18	21	14	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track28"	"track28"	140892	68474	67774	67529	61277	51834	109	82	"Truncq_7"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_0-0"	48.6003463645913	48.1035119098316	47.9296198506658	43.4921784061551	36.7898816114471	18069	9535	2171	5148	3019	2297	1179	780	654	2130	536	357	417	461	96	76	74	129	66	102	55	69	70	49	64	36	36	29	70	24	30	18	21	14	4	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track29"	"track29"	140892	68474	67774	67529	61277	51834	109	82	"Truncq_11"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_0-0"	48.6003463645913	48.1035119098316	47.9296198506658	43.4921784061551	36.7898816114471	18069	9535	2171	5148	3019	2297	1179	780	654	2130	536	357	417	461	96	76	74	129	66	102	55	69	70	49	64	36	36	29	70	24	30	18	21	14	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"track30"	"track30"	140892	129059	127878	128939	4324	4324	0	21	"Truncq_15"	"rmphix_FALSE"	"MaxEE_1-1"	"TruncLen_0-0"	91.6013684240411	90.7631377225109	91.5161968032252	3.06901740340119	3.06901740340119	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
